Path|Key|Source (EN_UK)|Target (ES)
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.contributors-description|Expanded list of research outputs with contributors and the associated affiliation|!!Liste étendue des résultats de recherche avec les contributeurs et l’affiliation associée
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.by.organisation-title|Awarded amount - summarized per organisational unit|!!Montant attribué -résumé par unité organisationnelle
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.by.organisation-description|Awarded amount rolled up to organisational unit level|!!Montant attribué cumulé au niveau de l’unité organisationnelle
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.content.by.organisation-title|Content overview - per organisational unit|!!Aperçu du contenu -par unité organisationnelle
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.content.by.organisation-description|Outputs, activities and projects rolled up to organisational unit level|!!Résultats, activités et projets cumulés au niveau de l’unité organisationnelle
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/journal/journalreporting-resources|project-alternative-issns|Additional ISSNs|!!ISSN supplémentaires
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/journal/journalreporting-resources|project-electronic-issns|Additional ISSNs (electronic)|!!ISSN supplémentaires (électroniques)
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/journal/journalreporting-resources|metric-journal-jufo|JuFo {functionality}|!!JuFo {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-internal|Fractional count internal {functionality}|!!Comptage fractionnel interne {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-internal-total|Fractional count internal total {functionality}|!!Total interne du comptage fractionnel {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-external|Fractional count external {functionality}|!!Comptage fractionnel externe {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-external-total|Fractional count external total {functionality}|!!Total externe du comptage fractionnel {functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-internal-only|Fractional count internal only{functionality}|!!Comptage fractionnel interne uniquement{functionality}
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/researchoutput/researchoutputreporting-resources|metric-research-output-fractional-count-internal-only-total|Fractional count internal only total {functionality}|!!Comptage fractionnel interne uniquement total {functionality}
pure-modules/unifiedprojectmodel-module/templates/bundled/src/main/resources/model/dk/atira/pure/modules/unifiedprojectmodel/external/model/application/application-resources|applicationPeerReviewHistory|Application Peer Review History|!!Historique d’examen par les pairs de l’application
pure-core/admin/src/main/resources/META-INF/resources/editor/editor-resources|submission-language-header.es_PR|Spanish (Puerto Rico) language fields|!!Champs de langue espagnole (Porto Rico)
pure-core/admin/src/main/resources/META-INF/resources/messaging/messaging-resources|openaccessuploadreminder-message.title|Open Access electronic file upload reminder|!!Rappel de téléchargement de fichier électronique Open Access
pure-core/admin/client/components/workspace/tasks/user-task-item/properties/usertaskitem-template-resources|OpenAccessUploadReminder-body-singular|{countAndContent} is potentially Open Access but requires electronic file|!!{countAndContent} est potentiellement en accès libre, mais nécessite un fichier électronique
pure-core/admin/client/components/workspace/tasks/user-task-item/properties/usertaskitem-template-resources|OpenAccessUploadReminder-body-plural|{countAndContent} are potentially Open Access but require electronic files|!!{countAndContent} sont potentiellement en libre accès, mais nécessitent des fichiers électroniques
pure-core/admin/client/components/modules/report/properties/report-resources|filter-including-units-below|or any unit below|!!ou toute unité ci-dessous
pure-core/core/src/main/resources/model/dk/atira/pure/server/migration/classification/languageclassificationscreationmigrationscript-resources|core.languages.es_PR|Spanish (Puerto Rico)|!!Espagnol (Porto Rico)
pure-core/content-import/src/main/resources/META-INF/resources/configuration/configuration-contentimport-resources|enable.automated.search-Scopus-description|Enable automated search for all Persons with a Scopus author ID. When you enable this search, automated search based on name variant will no longer be possible and the existing name variant search profiles will be removed. Note: It is not possible to enable this search for profiles that are manually curated by a dedicated institutional service.|!!Activer la recherche automatisée pour toutes les personnes ayant un ID d’auteur Scopus. Lorsque vous activez cette recherche, la recherche automatisée basée sur la variante de nom ne sera plus possible et les profils de recherche de variante de nom existants seront supprimés. Remarque : Il n’est pas possible d’activer cette recherche de profils qui sont sélectionnés manuellement par un service institutionnel dédié.
pure-core/content-import/src/main/resources/META-INF/resources/contentupdate/contentupdate-resources|only-one-job|Note: You can only run one import of Citation and Impact factors at a time (including dry run).|!!Remarque : Vous ne pouvez exécuter qu’une seule importation des facteurs de citation et d’impact à la fois (y compris le cycle à sec).
pure-core/content-import/src/main/resources/META-INF/resources/contentimport/contentimport-resources|organisationbiorxiv|Organisational unit in bioRxiv|!!Unité organisationnelle de bioRxiv
pure-templates/model-templates/src/main/resources/META-INF/resources/contentupdate/contentupdate-templates-resources|scopusCitescoreCategorySubjectMetricsProvider.name|Citescore Category Metrics|!!Indicateurs de catégorie Citescore
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.modification.date-label|Scopus modification date|!!Date de modification du Scopus
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.modification.date-description|This date limits how far back in time to look for publication changes in Scopus. Should be in the format DD-MM-YYYY (e.g. 24-10-2015)|!!Cette date limite le temps écoulé pour rechercher des modifications de publication dans Scopus. Doit être au format JJ-MM-AAAA (par ex. 24-10-2015)
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.concurrent.threads-label|Number of concurrent threads|!!Nombre de threads simultanés
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.concurrent.threads-description|The number of threads the job is allowed to use concurrently. Note: Do not change the setting unless you understand its impact. When unsure, contact support for assistance.|!!Le nombre de threads que la tâche est autorisée à utiliser simultanément. Remarque : Ne modifiez pas le paramètre à moins d’en comprendre l’impact. En cas de doute, contactez l’assistance pour obtenir de l’aide.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.additional.scopus.ids-label|Additional or failed Scopus IDs to process|!!ID Scopus supplémentaires ou échoués à traiter
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.additional.scopus.ids-description|A comma-separated list of Scopus IDs that will be processed in the next job run. The job will collect the Scopus IDs that failed in the current run. The Scopus IDs on the list that will then be successfully processed in the next job run will be cleared from it.|!!Une liste séparée par des virgules d’ID Scopus qui sera traitée lors de la prochaine exécution de travail. La tâche collectera les ID Scopus qui ont échoué dans l’exécution en cours. Les identifiants Scopus de la liste qui seront ensuite traités avec succès lors de la prochaine exécution de tâche seront effacés de celle-ci.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.configured.scopus.ids-label|Limit to the Scopus IDs configured above|!!Limite aux identifiants Scopus configurés ci-dessus
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.configured.scopus.ids-description|Will limit the job to only look at the configured Scopus IDs, disregarding the Scopus modification date.|!!Limitera la tâche à regarder uniquement les ID Scopus configurés, sans tenir compte de la date de modification Scopus.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.enable.additional.logging-label|Enable additional logging|!!Activer la journalisation supplémentaire
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.force.update.publications-label|Force update/import of all publications|!!Forcer la mise à jour/importation de toutes les publications
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.force.update.publications-description|Will process all publications from Scopus, disregarding the Scopus modification date and whether or not the publication has already been imported.|!!Traitera toutes les publications de Scopus, sans tenir compte de la date de modification de Scopus et si la publication a déjà été importée ou non.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.override.manual.changes-label|Overwrite publications with data from Scopus|!!Écraser les publications avec les données de Scopus
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.override.manual.changes-description|Warning: Will ignore any manually edited data from users and overwrite the publication data in Pure with the current data from Scopus.|!!Avertissement  : Ignorera toutes les données modifiées manuellement par les utilisateurs et remplacera les données de publication dans Pure par les données actuelles de Scopus.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.update.only.mode-label|Update only mode|!!Mode Mise à jour uniquement
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.update.only.mode-description|If you enable this mode, the job will only update publications that have been brought into Pure from Scopus. Any new publications will be skipped.|!!Si vous activez ce mode, la tâche ne mettra à jour que les publications qui ont été introduites dans Pure depuis Scopus. Toute nouvelle publication sera ignorée.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.import.only.mode-label|Import only mode|!!Mode d’importation uniquement
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.import.only.mode-description|If you enable this mode, the job will only import publications that are not yet present in Pure (based on Scopus IDs). Any updates to existing publications will be skipped.|!!Si vous activez ce mode, la tâche importera uniquement les publications qui ne sont pas encore présentes dans Pure (sur la base des identifiants Scopus). Toute mise à jour des publications existantes sera ignorée.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.default.internal.org-label|Default managing organisation|!!Organisation de gestion par défaut
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.default.internal.org-description|Specify the UUID of the internal organisation to default to as managing organisation. This organisation is used if there are no internal person matches on the publication during import. Normally, the managing organisation is derived from the associated persons. If there are no matched internal persons, the job needs a fallback organisation.|!!Spécifiez l’UUID de l’organisation interne à définir par défaut comme organisation de gestion. Cette organisation est utilisée s’il n’y a pas de correspondance de personne interne sur la publication pendant l’importation. Normalement, l’organisation de gestion est dérivée des personnes associées. S’il n’y a pas de personnes internes appariées, le poste a besoin d’une organisation de secours.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.active.persons-label|Limit to active persons|!!Limité aux personnes actives
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.active.persons-description|This will limit the Scopus author IDs to only be fetched from persons with an active organisation association.|!!Cela limitera les identifiants d’auteur Scopus à être récupérés uniquement auprès de personnes ayant une association d’organisation active.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.configured.author.ids-label|Scopus author IDs|!!ID scopus de l'auteur
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.limit.to.configured.author.ids-description|A comma-separated list of Scopus author IDs that the job will use when searching Scopus for publications. This should primarily be used for testing.|!!Une liste séparée par des virgules des identifiants d’auteur Scopus que le travail utilisera lors de la recherche de publications dans Scopus. Il doit principalement être utilisé pour les tests.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.default.workflow-label|Default workflow state|!!État du flux de travail par défaut
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-admin-templates-resources|scopus.publication.job.default.workflow-description|Specify the workflow that publications will default to when imported. This state will only be set during the initial import and not during update.|!!Spécifiez le flux de travail par défaut des publications lors de l’importation. Cet état ne sera défini que lors de l’importation initiale et non lors de la mise à jour.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-legend|Open Access electronic file upload reminder|!!Rappel de téléchargement de fichier électronique Open Access
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-hint|This will enable the task and e-mail for all personal users that notifies them about missing electronic files on research output with potential for Open Access. Note: It will not override any settings the personal user has already set.|!!Cela activera la tâche et l’e-mail pour tous les utilisateurs personnels qui les notifient des fichiers électroniques manquants sur les résultats de la recherche avec un potentiel d’accès libre. Remarque : Il ne remplacera aucun paramètre que l’utilisateur personnel a déjà défini.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-enabled|Set task and weekly digest e-mail for personal users as default|!!Définir par défaut la tâche et l’e-mail de synthèse hebdomadaire pour les utilisateurs personnels
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-mail-legend|Custom Open Access electronic file upload reminder e-mail|!!E-mail de rappel de téléchargement de fichier électronique Open Access personnalisé
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-mail-hint|This can be used to customise the e-mail that notifies personal users about missing electronic files by providing context and links to your institution's Open Access policies / recommendations. Note: If the custom title or body is left blank, a generic text will be used.|!!Il peut être utilisé pour personnaliser l’e-mail qui informe les utilisateurs personnels des fichiers électroniques manquants en fournissant un contexte et des liens vers les politiques/recommandations d’Open Access de votre institution. Remarque : Si le titre ou le corps personnalisé est laissé vide, un texte générique sera utilisé.
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-mail-title|Custom e-mail title|!!Titre de l’e-mail personnalisé
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-mail-body|Custom e-mail body|!!Corps de l’e-mail personnalisé
pure-templates/admin-templates/src/main/resources/META-INF/resources/configuration/configuration-openaccess-resources|open-access-upload-reminder-navigate-text|View the {size} research output that will trigger reminders|!!Afficher les résultats de la {size} recherche qui déclencheront des rappels
pure-templates/admin-templates/src/main/resources/META-INF/resources/cron/cron-templates-resources|scopusJournalsCronJob-description|This job updates/creates Scopus journals with metrics, publisher, titles, ASJC subject areas, CiteScore, Category metrics, and ISSNs from Scopus. In the job configuration below you can choose which data to update.|!!Ce poste met à jour/crée des journaux Scopus avec des mesures, des éditeurs, des titres, des domaines ASJC, CiteScore, des mesures de catégorie et des ISSN de Scopus. Dans la configuration des tâches ci-dessous, vous pouvez choisir les données à mettre à jour.
pure-templates/admin-templates/src/main/resources/META-INF/resources/cron/cron-templates-resources|scopusPublicationJob-label|Scopus Publication Import/Update job|!!Tâche d’importation/mise à jour de publication Scopus
pure-templates/admin-templates/src/main/resources/META-INF/resources/cron/cron-templates-resources|scopusPublicationJob-description|Job for importing and updating publications from Scopus. The job will query Scopus for publications based on Scopus author IDs on persons. Any publications matched will be imported into Pure. Any publications already imported from Scopus will be checked for updates and updated automatically. The job should be configured to run once a week and, depending on the amount of publications found, the initial run can take 1-2 days to finish. Subsequent runs will check for new publications and updates since the job last ran and should take less time to finish. The bulk of the time spent on these runs will be querying the Scopus API.|!!Travail d’importation et de mise à jour des publications de Scopus. Le travail interrogera Scopus pour des publications basées sur les identifiants d’auteur Scopus sur les personnes. Toutes les publications correspondantes seront importées dans Pure. Toutes les publications déjà importées de Scopus seront vérifiées pour les mises à jour et mises à jour automatiquement. La tâche doit être configurée pour s’exécuter une fois par semaine et, en fonction du nombre de publications trouvées, l’exécution initiale peut prendre 1 à 2 jours. Les séries suivantes vérifieront la présence de nouvelles publications et mises à jour depuis la dernière exécution de la tâche et devraient prendre moins de temps à terminer. La majeure partie du temps passé sur ces exécutions interrogera l’API Scopus.
pure-templates/admin-templates/src/main/resources/META-INF/resources/editor/dk/atira/pure/api/shared/model/person/editor/personeditor-resources|orcid-redirection-dialog-body-sync|<p>You will now be directed to the ORCID site where you can generate your ORCID ID (if you do not already have one) and/or authorise the export of content (e.g. research outputs) from Pure to your ORCID record.</p><p>Upon setup, Pure will export the following content immediately, and then subsequently automatically update it at a frequency determined by your Pure administrator:</p><ul><li>Institutional organisational affiliation</li><li>Other personal identifiers (e.g. Scopus author ID, Researcher ID)</li>{portalUrl}<li>Your research outputs, where:</li><ul><li>the publication status is '{publicationStatuses}'</li><li>the visibility of the record is '{public}'</li><li>the workflow step is at least '{workflow}'.</li></ul></ul>|!!<p>Vous allez maintenant être dirigé vers le site ORCID où vous pouvez générer votre identifiant ORCID (si vous n’en avez pas déjà un) et/ou autoriser l’exportation de contenu (p. ex., résultats de recherche) de Pure vers votre dossier ORCID.</p><p>Lors de la configuration, Pure exportera immédiatement le contenu suivant, puis le mettra automatiquement à jour à une fréquence déterminée par votre administrateur Pure  :</p><ul><li>Affiliation organisationnelle institutionnelle</li><li>Autres identifiants personnels (p. ex., identifiant de l’auteur Scopus, identifiant du chercheur)</li>{portalUrl}<li>Vos résultats de recherche, où  :</li><ul><li>le statut de la publication est '{publicationStatuses}'</li><li>la visibilité du dossier est '{public}'</li><li>l’étape du flux de travail est au moins '{workflow}'.</li></ul></ul>
pure-templates/admin-templates/src/main/resources/META-INF/resources/messaging/messaging-templates-resources|open-access-upload-reminder-message.title|You have {count} research output with potential for Open Access but without the required electronic file|!!Vous avez des résultats de {count} recherche avec un potentiel d’accès libre, mais sans le fichier électronique requis
pure-templates/admin-templates/src/main/resources/META-INF/resources/messaging/messaging-templates-resources|open-access-upload-reminder-message.listing|"<a href=""{link}"">View all ({count}) ›</a>"|"!!<a href=""{link}"">Voir tout ( {count}) ›</a>"
pure-templates/admin-templates/src/main/resources/META-INF/resources/component/dk/atira/pure/client/ui/component/openaccess/openaccesscomponentbackingbean-resources|openAccess-notSet|Not set|!!Non défini
pure-templates/admin-templates/src/main/resources/security/template-security-resources|api-access|Allow API access|!!Autoriser l’accès à l’API
